property_id,city,locality,property_type,area_sqft,bedrooms,bathrooms,balconies,floor,total_floors,age_years,facing,furnishing_status,parking_spaces,amenities_score,amenities_list,near_metro,near_school,near_hospital,price_per_sqft,total_price_inr,total_price_lakhs,listed_date,transaction_type,possession_status
PROP00001,Bangalore,Whitefield,Independent House,2024.0,3,2,1,8,10,21,North-West,Fully Furnished,0,0.3,Jogging Track|Parking|Gym,1,1,1,12640.45,25584261,255.84,2024-10-31,Sale,New Launch
PROP00002,Hyderabad,Financial District,Apartment,711.0,2,2,2,17,18,24,West,Semi-Furnished,1,0.7,Security|Clubhouse|Power Backup|Parking|Children Play Area|Gym|Jogging Track,1,0,0,7237.91,5146155,51.46,2022-03-30,Resale,New Launch
PROP00003,Hyderabad,Ameerpet,Apartment,1653.0,1,1,1,12,14,1,North-West,Unfurnished,2,0.6,Swimming Pool|Power Backup|Jogging Track|Children Play Area|Clubhouse|Parking,0,1,0,9361.58,15474689,154.75,2023-07-01,Sale,New Launch
PROP00004,Bangalore,JP Nagar,Independent House,1539.0,2,1,1,24,29,20,North-West,Semi-Furnished,0,0.7,Gym|Power Backup|Jogging Track|Parking|Clubhouse|Children Play Area|Garden,1,0,1,9942.51,15301529,153.02,2024-03-21,Resale,Ready to Move
PROP00005,Hyderabad,Manikonda,Independent House,1909.0,3,4,2,27,37,12,North,Unfurnished,0,0.4,Children Play Area|Lift|Swimming Pool|Parking,1,1,1,7757.8,14809643,148.1,2024-05-14,Sale,Under Construction
PROP00006,Bangalore,Marathahalli,Apartment,1386.0,2,3,0,7,16,24,North,Fully Furnished,2,0.7,Swimming Pool|Security|Parking|Jogging Track|Power Backup|Gym|Clubhouse,1,1,0,7869.1,10906577,109.07,2024-11-05,Sale,Ready to Move
PROP00007,Bangalore,Indiranagar,Apartment,782.0,2,3,0,20,28,0,East,Fully Furnished,2,0.6,Power Backup|Gym|Jogging Track|Security|Children Play Area|Garden,0,1,1,15218.68,11901009,119.01,2022-09-20,Resale,New Launch
PROP00008,Hyderabad,Kokapet,Independent House,1517.0,3,3,1,34,38,22,North,Unfurnished,1,0.7,Lift|Children Play Area|Jogging Track|Gym|Swimming Pool|Garden|Parking,1,1,1,7312.27,11092717,110.93,2022-05-01,Sale,Ready to Move
PROP00009,Delhi NCR,Greater Noida,Apartment,909.0,3,2,2,31,35,17,West,Semi-Furnished,1,0.9,Power Backup|Lift|Parking|Swimming Pool|Gym|Garden|Jogging Track|Children Play Area|Clubhouse,0,1,1,10334.5,9394056,93.94,2023-11-26,Sale,Ready to Move
PROP00010,Hyderabad,Financial District,Apartment,890.0,1,1,0,17,25,7,East,Semi-Furnished,1,1.0,Swimming Pool|Gym|Children Play Area|Lift|Jogging Track|Garden|Power Backup|Security|Clubhouse|Parking,1,1,0,9247.7,8230456,82.3,2024-03-10,Resale,Under Construction
